DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
3007.8,75,0.0
3963.2,77,0.0
3407.2,78,0.0
4299.0,78,0.0
5831.4,79,0.0
8262.0,78,0.0
10573.0,78,0.0
11550.4,77,0.0
11667.8,76,0.0
11692.2,76,0.0
11621.2,75,0.0
10346.0,75,0.0
8059.6,74,0.0
5864.4,73,0.0
5035.6,74,0.0
6186.6,74,0.0
8448.6,75,0.0
10560.8,76,0.0
10608.6,76,0.0
10228.4,77,0.0
10254.6,78,0.0
9888.0,79,0.0
8133.0,80,0.0
6803.8,80,0.0
5140.0,81,0.0
5388.2,81,0.0
7521.0,82,0.0
9402.4,81,0.0
11964.8,81,0.0
18274.4,80,0.0
23479.0,80,0.0
30143.8,79,0.0
38009.4,79,0.0
41661.0,78,0.0
32949.8,78,0.0
25405.4,77,0.0
17760.6,77,0.0
9538.2,76,0.0
4911.2,76,0.0
7119.0,76,0.0
8797.2,77,0.0
9853.8,77,0.0
10160.2,77,0.0
10043.0,77,0.0
9661.0,77,0.0
9846.6,78,0.0
7850.8,78,0.0
5789.2,78,0.0
5348.6,78,0.0
5005.4,79,0.0
6379.4,79,0.0
7648.6,79,0.0
7564.4,79,0.0
6774.0,79,0.0
6388.4,79,0.0
5751.6,79,0.0
5056.0,79,0.0
4959.4,79,0.0
4207.0,79,0.0
3703.4,79,0.0
3555.8,79,0.0
2036.4,77,0.0
7443.0,75,0.0
13969.6,75,0.0
28778.0,74,0.0
43068.2,73,0.0
55009.2,72,0.0
65462.8,71,0.0
63139.6,71,0.0
53036.6,70,0.0
38655.6,69,0.0
36025.8,68,0.0
40850.8,67,0.0
47479.2,67,0.0
60344.6,67,0.0
69345.2,67,0.0
79856.8,67,0.0
93520.2,67,0.0
109643.4,67,0.0
119416.8,67,0.0
105800.2,67,0.0
91107.2,67,0.0
66000.8,67,0.0
46679.4,67,0.0
76462.4,66,0.0
112322.6,66,0.0
155722.8,66,0.0
190929.4,66,0.0
221873.6,66,0.0
204427.4,66,0.0
186650.4,66,0.0
173989.0,66,0.0
152753.6,66,0.0
125014.6,66,0.0
108422.6,66,0.0
94780.2,66,0.0
46309.6,66,0.0
27529.2,66,0.0
17598.4,67,0.0
7693.6,68,0.0
8911.4,68,0.0
7448.4,69,0.0
